role,module,action,allowed,updated_at,updated_by
quan_ly_du_an,giay_phep,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,giay_phep,delete,f,2026-07-14 08:18:51.879439+00,
admin,giay_phep,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,giay_phep,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,giay_phep,approve,t,2026-07-14 08:18:51.879439+00,
ktv,giay_phep,approve,f,2026-07-14 08:18:51.879439+00,
readonly,giay_phep,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,giay_phep,approve,f,2026-07-14 08:18:51.879439+00,
to_truong,giay_phep,approve,f,2026-07-14 08:18:51.879439+00,
admin,giay_phep,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,giay_phep,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,giay_phep,export,t,2026-07-14 08:18:51.879439+00,
ktv,giay_phep,export,f,2026-07-14 08:18:51.879439+00,
readonly,giay_phep,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,giay_phep,export,f,2026-07-14 08:18:51.879439+00,
to_truong,giay_phep,export,f,2026-07-14 08:18:51.879439+00,
admin,giay_phep,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,giay_phep,import,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,giay_phep,import,f,2026-07-14 08:18:51.879439+00,
ktv,giay_phep,import,f,2026-07-14 08:18:51.879439+00,
readonly,giay_phep,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,giay_phep,import,f,2026-07-14 08:18:51.879439+00,
to_truong,giay_phep,import,f,2026-07-14 08:18:51.879439+00,
admin,so_do,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,so_do,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,so_do,view,t,2026-07-14 08:18:51.879439+00,
ktv,so_do,view,t,2026-07-14 08:18:51.879439+00,
readonly,so_do,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,so_do,view,f,2026-07-14 08:18:51.879439+00,
to_truong,so_do,view,t,2026-07-14 08:18:51.879439+00,
admin,so_do,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,so_do,create,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,so_do,create,t,2026-07-14 08:18:51.879439+00,
ktv,so_do,create,t,2026-07-14 08:18:51.879439+00,
readonly,so_do,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,so_do,create,f,2026-07-14 08:18:51.879439+00,
to_truong,so_do,create,t,2026-07-14 08:18:51.879439+00,
admin,so_do,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,so_do,edit,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,so_do,edit,t,2026-07-14 08:18:51.879439+00,
ktv,so_do,edit,t,2026-07-14 08:18:51.879439+00,
readonly,so_do,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,so_do,edit,f,2026-07-14 08:18:51.879439+00,
to_truong,so_do,edit,t,2026-07-14 08:18:51.879439+00,
admin,so_do,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,so_do,delete,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,so_do,delete,f,2026-07-14 08:18:51.879439+00,
ktv,so_do,delete,f,2026-07-14 08:18:51.879439+00,
readonly,so_do,delete,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,so_do,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,so_do,delete,f,2026-07-14 08:18:51.879439+00,
admin,so_do,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,so_do,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,so_do,approve,t,2026-07-14 08:18:51.879439+00,
ktv,so_do,approve,f,2026-07-14 08:18:51.879439+00,
readonly,so_do,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,so_do,approve,f,2026-07-14 08:18:51.879439+00,
to_truong,so_do,approve,f,2026-07-14 08:18:51.879439+00,
admin,so_do,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,so_do,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,so_do,export,t,2026-07-14 08:18:51.879439+00,
ktv,so_do,export,f,2026-07-14 08:18:51.879439+00,
readonly,so_do,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,so_do,export,f,2026-07-14 08:18:51.879439+00,
to_truong,so_do,export,t,2026-07-14 08:18:51.879439+00,
admin,so_do,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,so_do,import,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,so_do,import,f,2026-07-14 08:18:51.879439+00,
ktv,so_do,import,f,2026-07-14 08:18:51.879439+00,
readonly,so_do,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,so_do,import,f,2026-07-14 08:18:51.879439+00,
to_truong,so_do,import,f,2026-07-14 08:18:51.879439+00,
admin,du_an,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,du_an,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,du_an,view,t,2026-07-14 08:18:51.879439+00,
ktv,du_an,view,f,2026-07-14 08:18:51.879439+00,
readonly,du_an,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,du_an,view,t,2026-07-14 08:18:51.879439+00,
to_truong,du_an,view,f,2026-07-14 08:18:51.879439+00,
admin,du_an,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,du_an,create,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,du_an,create,t,2026-07-14 08:18:51.879439+00,
ktv,du_an,create,f,2026-07-14 08:18:51.879439+00,
readonly,du_an,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,du_an,create,t,2026-07-14 08:18:51.879439+00,
to_truong,du_an,create,f,2026-07-14 08:18:51.879439+00,
admin,du_an,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,du_an,edit,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,du_an,edit,t,2026-07-14 08:18:51.879439+00,
ktv,du_an,edit,f,2026-07-14 08:18:51.879439+00,
readonly,du_an,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,du_an,edit,t,2026-07-14 08:18:51.879439+00,
to_truong,du_an,edit,f,2026-07-14 08:18:51.879439+00,
